date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:43:00	1184/1184	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225bfe71a1-e42%22	https://app.cpcbccr.com/robots.txt		(from )
11:43:05	24141/24141	---MCZ	200	added ('OK')	text/html	etag:W/%225de4e470-5e4d%22	https://app.cpcbccr.com/AQI_India/	F:/github/CPCB/app.cpcbccr.com/AQI_India/index.html	(from )
11:43:10	118820/118820	---MCZ	200	added ('OK')	text/css	etag:W/%225daf13ae-1d024%22	https://app.cpcbccr.com/AQI_India/assets/stylesheets/bootstrap.min.css	F:/github/CPCB/app.cpcbccr.com/AQI_India/assets/stylesheets/bootstrap.min.css	(from https://app.cpcbccr.com/AQI_India/)
11:43:11	214/214	---MCZ	200	added ('OK')	text/css	etag:W/%225daf13ae-d6%22	https://app.cpcbccr.com/AQI_India/assets/stylesheets/theme.css	F:/github/CPCB/app.cpcbccr.com/AQI_India/assets/stylesheets/theme.css	(from https://app.cpcbccr.com/AQI_India/)
11:43:13	4772/4772	---MCZ	200	added ('OK')	text/css	etag:W/%225daf13ae-12a4%22	https://app.cpcbccr.com/AQI_India/assets/stylesheets/bootstrap-select.min.css	F:/github/CPCB/app.cpcbccr.com/AQI_India/assets/stylesheets/bootstrap-select.min.css	(from https://app.cpcbccr.com/AQI_India/)
11:43:19	32121/32121	---MCZ	200	added ('OK')	text/css	etag:W/%225daf13ae-7d79%22	https://app.cpcbccr.com/AQI_India/assets/stylesheets/bootstrap-datepicker3.standalone.min.css	F:/github/CPCB/app.cpcbccr.com/AQI_India/assets/stylesheets/bootstrap-datepicker3.standalone.min.css	(from https://app.cpcbccr.com/AQI_India/)
11:43:21	2950/2950	---MCZ	200	added ('OK')	text/css	etag:W/%225daf13ae-b86%22	https://app.cpcbccr.com/AQI_India/assets/stylesheets/main.css	F:/github/CPCB/app.cpcbccr.com/AQI_India/assets/stylesheets/main.css	(from https://app.cpcbccr.com/AQI_India/)
11:43:24	98/98	---MCZ	200	added ('OK')	text/css	etag:W/%225daf13ae-62%22	https://app.cpcbccr.com/AQI_India/assets/stylesheets/map.css	F:/github/CPCB/app.cpcbccr.com/AQI_India/assets/stylesheets/map.css	(from https://app.cpcbccr.com/AQI_India/)
11:43:25	3043/3043	---MCZ	200	added ('OK')	text/css	etag:W/%225daf13ae-be3%22	https://app.cpcbccr.com/AQI_India/assets/stylesheets/bootstrap-timepicker.min.css	F:/github/CPCB/app.cpcbccr.com/AQI_India/assets/stylesheets/bootstrap-timepicker.min.css	(from https://app.cpcbccr.com/AQI_India/)
11:43:34	14931/14931	---MCZ	200	added ('OK')	image/png	etag:W/%225daf13ac-3a53%22	https://app.cpcbccr.com/AQI_India/assets/images/cpcb-logo.png	F:/github/CPCB/app.cpcbccr.com/AQI_India/assets/images/cpcb-logo.png	(from https://app.cpcbccr.com/AQI_India/)
11:44:00	96385/96385	---MCZ	200	added ('OK')	application/javascript	etag:W/%225daf13ac-17881%22	https://app.cpcbccr.com/AQI_India/assets/javascripts/jquery.min.js	F:/github/CPCB/app.cpcbccr.com/AQI_India/assets/javascripts/jquery.min.js	(from https://app.cpcbccr.com/AQI_India/)
11:44:03	16965/16965	---MCZ	200	added ('OK')	application/javascript	etag:W/%225daf13ac-4245%22	https://app.cpcbccr.com/AQI_India/assets/javascripts/eventemitter2.js	F:/github/CPCB/app.cpcbccr.com/AQI_India/assets/javascripts/eventemitter2.js	(from https://app.cpcbccr.com/AQI_India/)
11:45:59	35483/35483	---MCZ	200	added ('OK')	application/javascript	etag:W/%225daf13ac-8a9b%22	https://app.cpcbccr.com/AQI_India/assets/javascripts/justgage.js	F:/github/CPCB/app.cpcbccr.com/AQI_India/assets/javascripts/justgage.js	(from https://app.cpcbccr.com/AQI_India/)
11:46:00	29115/29115	---MCZ	200	added ('OK')	application/javascript	etag:W/%225daf13ac-71bb%22	https://app.cpcbccr.com/AQI_India/assets/javascripts/bootstrap.min.js	F:/github/CPCB/app.cpcbccr.com/AQI_India/assets/javascripts/bootstrap.min.js	(from https://app.cpcbccr.com/AQI_India/)
11:46:00	510/510	---MCZ	200	added ('OK')	application/javascript	etag:W/%225daf13ac-1fe%22	https://app.cpcbccr.com/AQI_India/assets/javascripts/scrollspy.js	F:/github/CPCB/app.cpcbccr.com/AQI_India/assets/javascripts/scrollspy.js	(from https://app.cpcbccr.com/AQI_India/)
11:46:00	29142/29142	---MCZ	200	added ('OK')	application/javascript	etag:W/%225daf13ac-71d6%22	https://app.cpcbccr.com/AQI_India/assets/javascripts/bootstrap-datepicker.min.js	F:/github/CPCB/app.cpcbccr.com/AQI_India/assets/javascripts/bootstrap-datepicker.min.js	(from https://app.cpcbccr.com/AQI_India/)
11:46:00	24507/24507	---MCZ	200	added ('OK')	application/javascript	etag:W/%225daf13ac-5fbb%22	https://app.cpcbccr.com/AQI_India/assets/javascripts/moment.min.js	F:/github/CPCB/app.cpcbccr.com/AQI_India/assets/javascripts/moment.min.js	(from https://app.cpcbccr.com/AQI_India/)
11:46:00	9314/9314	---MCZ	200	added ('OK')	application/javascript	etag:W/%225daf13ac-2462%22	https://app.cpcbccr.com/AQI_India/assets/javascripts/bootstrap-sortable.js	F:/github/CPCB/app.cpcbccr.com/AQI_India/assets/javascripts/bootstrap-sortable.js	(from https://app.cpcbccr.com/AQI_India/)
